Gender,Category,Sub category,Service Name,Service Name in Marathi,Duration in minuts,Amount,Reminder In Days,Short Description,Long Description
1,Hair,Haircut,Haircut,कटिंग,40,120,,,
1,Hair,Haircut,Basic,बेसिक,35,120,,,
1,Hair,Haircut,Creative,क्रिएटिव्ह,40,150,,,
1,Hair,Haircut,Senior stylist,सिनियर स्टायलिस्ट,40,120,,,
1,Hair,Haircut,Master Stylist,मास्टर स्टायलिस्ट,30,150,,,
1,Hair,Haircut,Kids ,लहान मुलं,20,100,,,
1,Hair,Hair wash ,With Blast Dry,फक्त ड्राय,25,120,,,
1,Hair,Hair wash,With Blow Dry,ब्लो ड्रायसह,35,120,,,
1,Hair,Hair colour,Root Touch Up,रूट टच अप,20,150,,,
1,Hair,Hair colour,Root Touch Up,रूट टच अप,20,120,,,
1,Hair,Hair colour,Global,संपूर्ण केस,35,150,,,
1,Hair,Hair colour,Global,संपूर्ण केस,35,100,,,
1,Hair,Hair colour,Highlight,हायलाईट,60,120,,,
1,Hair,Hair colour,Highlight,हायलाईट,60,120,,,
1,Hair,Hair colour,Global ,संपूर्ण केस,35,150,,,
1,Hair,Hair colour,Global,संपूर्ण केस,35,120,,,
1,Hair,Hair Spa,Basic Hydration ,बेसिक हायड्रेशन,45,150,,,
1,Hair,Hair Spa,Hair Fall,केस गळती,45,100,,,
1,Hair,Hair Spa,Dandruff,कोंडा,45,120,,,
1,Hair,Hair Spa,Keratin,केराटीन,45,120,,,
1,Hair,Hair Spa,Head Massage ,डोक्याची  मालिश,20,150,,,
1,Hair,Plex Treatment ,Fiber Plex,फायबर प्लेक्स,240,120,,,
1,Hair,Plex Treatment,Ola Plex,ओला प्लेक्स,240,150,,,
1,Hair,Plex Treatment,Wella Plex,वेल्ला प्लेक्स,240,100,,,
1,Hair,Plex Treatment,K18,के-एटिन,240,120,,,
1,Hair,Protein Treatment ,Keratin,केराटीन,240,120,,,
1,Hair,Protein Treatment,Blutox ,ब्ल्यूटॉक्स,240,150,,,
1,Hair,Protein Treatment,Botox,बोटॉक्स,240,120,,,
1,Hair,Protein Treatment,Nanoplastia,नॅनोप्लॅस्टिया,240,150,,,
