Gender,Category,Sub category,Service Name,Service Name in Marathi,Duration in minuts,Amount,Reminder In Days,Short Description,Long Description
Male,Hair,Haircut,Haircut ,कटिंग,25,120,,,
Male,Hair,Haircut,Basic ,बेसिक,25,120,,,
Male,Hair,Haircut,Creative,क्रीएटीव्ह,30,150,,,
Male,Hair,Haircut,Kids Haircut,लहान मुलांची कटिंग,25,100,,Up to 13 years |१३ वर्षांपर्यंत ,
Male,Hair,Beard,Beard shape, कोरीव दाढी,20,100,,Basic,
Male,Hair,Beard,Beard Shape, कोरीव दाढी,30,120,,Creativ,
Male,Hair,Beard,Clean Shave, दाढी,15,90,,,
Male,Hair,Beard,Beard Trimming,झिरो मशीन दाढी,15,80,,,
Male,Hair,Hair colour,Global ,ग्लोबल,15,230,,with ammonia,
Male,Hair,Hair colour,Global ,ग्लोबल,15,250,,without ammonia,
Male,Hair,Hair colour,Highlight ,हायलाईट,,200,,with Prelightner,
Male,Hair,Hair colour,Highlight ,हायलाईट,,,,without Prelightner,
Male,Hair,Hair colour,Beard Colour,दाढी कलर,15,100,,,
Male,Hair,Hair colour,Global,ग्लोबल,15,210,,With wash | केस धुण्यासह,
Male,Hair,Hair colour,Global ,ग्लोबल ,,,,Without wash | केस न धुता,
Male,Hair,Hair wash  ,Hair wash,हेअर वॉश,15,50,,,
Male,Hair,Blow dry,With wash,केस धुण्यासह,50,15,,,
Male,Hair,Blow dry,Without wash,केस न धुता,30,10,,,
